segmento_nombre,campos,campos_activos,bpd_mediano,declinacion_pct,volatilidad,madurez,historia_meses,bpd_actual,pct_produccion
Núcleo estable,99,83,1496.9908096694742,1.5038186863130631,0.1847738052433063,0.6353923715797257,140.0,636130.3964516129,88.24936550695848
Maduro en declinación,179,135,546.2370736810198,8.47010325643246,0.20005869940323917,0.2278860077835098,145.0,72383.08267281106,10.041590772811277
Marginal errático,101,41,116.22992137295407,11.836083524017482,0.7534559412086012,0.0871369593123103,77.0,8307.775910138249,1.1525246347813256
En agotamiento,77,35,162.65762880791917,47.41889274840388,0.5138972181043606,0.04478450711303954,100.0,4011.572258064516,0.5565190854489196
