modelo,1,2,3,4,5,6,7,8,9,10,11,12
Arps-24m,1.6454568899442314,1.599462656603824,1.709326441673714,1.783600095331746,1.8174364557146798,1.8647182872157997,1.9765717659959263,2.1370261999032736,2.166861498239353,2.1952825605304076,2.199720556382193,2.2795732895282153
Arps-36m,1.9288248343116345,1.8377462752060603,1.955451378761251,2.030898301873469,2.03466222952061,2.0820487552099047,2.1660968112361054,2.3357335959160515,2.3685949321430293,2.3903369547118936,2.365799645219854,2.4445412903911508
Drift,0.8603444575844226,1.1088425245364057,1.3681137828994783,1.5510785523035822,1.6676319186951993,1.8983214012697867,2.0527548183848547,2.162892939228474,2.3361692517528385,2.4038865001470118,2.501514916791324,2.6654137934735203
ML-global,0.9084154148917796,1.0438582569368702,1.261020843645894,1.3908977556145166,1.4787164006432139,1.6326150997373867,1.7295137651429102,1.8253469092686678,1.9355919721162462,1.9910789152159016,1.9830904511729346,2.1092219625442414
Media-3m,1.0163930757501765,1.1300977399212702,1.3319335141864947,1.4584179572500149,1.5592065556790777,1.7306824315758877,1.8457310812690408,1.970943289798533,2.0585638909139203,2.1026616612260534,2.1238933413616583,2.258432822399305
Naive,0.831333117600398,1.0325405033401636,1.264192059589988,1.4136642170956866,1.5287321323394638,1.7149055614704962,1.8292365918349889,1.9133546860891428,2.059604870193465,2.0989814903189137,2.136283655039266,2.2632940680111546
