metodo,cobertura_%,objetivo_%,desvio_pp,anchura_rel,winkler_bpd,n
Cuantílica,73.53611500701263,80.0,-6.463884992987374,1.236089020301393,1328.3070051822835,102672
Conformal-clase,79.8542932834658,80.0,-0.14570671653420675,1.2274711877637259,1715.157136062583,102672
Conformal,80.07928159576126,80.0,0.07928159576125893,1.14045226565621,1816.0099652862834,102672
