campo,activo,meses_inactivo,operadora,departamento,latitud,longitud,meses_historia,bpd_medio,bpd_ultimo,bpd_pico,madurez,declinacion_anual_pct,arps_b,arps_tipo,arps_exito,volatilidad,meses_sin_produccion
RUMBA,True,0,PAREX RESOURCES COLOMBIA LTD. SUCURSAL,CASANARE,4.876590825,-72.41392872,129,1693.1453469607138,554.9548387096773,4872.096774193548,0.11390472407057965,59.804560596600155,0.19806500198959984,hiperbólica,True,0.319774460212222,0
RÍO OPIA,True,0,INTEROIL COLOMBIA EXPLORATION AND PRODUCTION ANTES MERCANTILE COLOMBIA OIL AND GAS MCOG,TOLIMA,4.571009,-74.832829,145,34.49114400054065,25.743870967741934,99.51612903225806,0.25869043760129656,11.504997239297266,0.0,exponencial,True,0.3817849063752518,0
RÍO SALDAÑA,True,0,HOCOL S.A.,TOLIMA,3.686842,-75.36593,141,573.2950465609844,788.2209677419354,1287.1,0.6124007208001985,0.2819310265990693,0.0,exponencial,True,0.24454656567155153,0
SABANERO,True,0,"FRONTERA ENERGY COLOMBIA CORP., SUCURSAL COLOMBIA",META,4.104357764,-71.25268595,111,995.5460333840115,1401.3012903225806,2672.3870967741937,0.524363140360195,0.0011999928000494542,1.0,armónica,True,0.5186661075676587,0
SAIMIRÍ,True,0,"FRONTERA ENERGY COLOMBIA CORP., SUCURSAL COLOMBIA",CASANARE,4.939954,-71.937198,146,247.33379431792372,65.11548387096774,1042.4193548387098,0.06246572799009747,0.0011999928000272497,1.0,armónica,True,0.117211844212291,0
SALINA,True,0,PETROSANTANDER COLOMBIA  GMBH,SANTANDER,7.275732279,-73.52431064,146,1158.3959226648512,751.7770967741935,2431.064516129032,0.3092378222735295,4.528707777475482,0.9999999999999998,armónica,True,0.055793459994463175,0
SALTADOR,True,0,GEOPARK COLOMBIA S.A.S.,META,4.442561312,-72.90891078,32,1494.742986598039,2105.9435483870966,2105.9435483870966,1.0,0.0011999928000272497,1.0,armónica,True,0.37571299173003064,0
SAN ANTONIO,False,6,ECOPETROL S.A.,PUTUMAYO,0.5349206472,-77.041858559,129,140.50720149249133,5.9,432.03225806451616,0.013656387665198238,28.95919400250572,0.0,exponencial,True,0.43853420675971744,0
SAN FRANCISCO,True,0,ECOPETROL S.A.,HUILA,3.057358135,-75.38654902,147,4210.0455216905875,2681.2977419354843,6206.709677419355,0.4319998648704836,7.224666359599741,0.9999999999999999,armónica,True,0.035849771130952376,0
SAN LUIS,False,79,ECOPETROL S.A.,SANTANDER,4.08299258,-75.11771589,68,50.89472690633539,28.0,55.03225806451613,0.5087924970691676,2.379396268917089,0.0,exponencial,True,0.09817460492095771,0
SAN ROQUE,True,0,ECOPETROL S.A.,CESAR,7.982969815,-73.57291509,146,1619.5791966340073,1171.9474193548388,2510.4285714285716,0.46683161301336545,3.8434678291057955,0.0,exponencial,True,0.06395050768527848,0
SANTA CLARA,False,41,ECOPETROL S.A.,HUILA,2.949089643,-75.34843156,106,593.5476932040892,366.6774193548387,1042.4666666666667,0.35174018611770674,1.0247054597940286,1.0,armónica,True,0.11820827420952423,0
SANTA LUCÍA,True,0,GRAN TIERRA ENERGY COLOMBIA GMBH SUCURSAL COLOMBIA,CESAR,7.773443,-73.653718,101,214.7116941528095,25.966129032258067,350.6333333333333,0.07405493592240156,33.04788452306134,1.0,armónica,True,0.5098179298204201,0
SANTIAGO,True,0,HOCOL S.A.,CASANARE,4.734781569,-72.31113689,121,631.2141989372074,374.94032258064516,1122.9,0.3339035734087142,3.996877766750895,0.0,exponencial,True,0.12855295842700967,0
SANTO DOMINGO,False,54,HOCOL S.A.,CASANARE,4.859603565,-72.04660158,90,623.5994609825144,91.3,2208.3928571428573,0.04134228187919463,3.9436302261842693,4.064756029395582e-09,exponencial,True,0.7033047585698269,0
SANTO DOMINGO NORTE,False,54,HOCOL S.A.,CASANARE,4.859580443,-72.04660309,78,722.2177918145383,173.33333333333334,3863.8928571428573,0.044859767012666106,20.85320954314812,0.0,exponencial,True,0.4141557625578669,0
SANTO DOMINGO UNIFICADO,True,0,HOCOL S.A.,CASANARE,4.854692668,-72.04955966,44,328.56288262812456,396.158064516129,494.35483870967744,0.801363784665579,0.0011999928000494542,0.9999999999999999,armónica,True,0.2508585518950188,0
SARDINAS,True,0,PERENCO COLOMBIA LIMITED,CASANARE,4.975068903,-71.50580348,146,671.3053335345063,411.97967741935486,1099.8666666666666,0.37457238218513295,11.66791699360903,0.9999999999999789,armónica,True,0.15486559132317473,0
SARDINATA,True,0,ECOPETROL S.A.,NORTE DE SANTANDER,8.47503735,-72.65059808,146,156.18889787032342,37.45258064516129,406.38709677419354,0.09215986664549929,6.81035148765462,0.0,exponencial,True,0.2944801028738139,0
SAURIO,True,0,ECOPETROL S.A.,META,4.069479237,-73.42217745,70,300.2440845762109,47.77451612903226,624.516129032258,0.07649845041322315,18.16935726422686,0.5064354384522383,hiperbólica,True,0.656033521472919,0
SIRENAS,False,68,PERENCO COLOMBIA LIMITED,CASANARE,5.27270826,-71.15650018,68,52.0302929180571,1.0,116.48387096774194,0.008584879534754916,17.661026757901656,0.0,exponencial,True,0.8099542738051054,0
SUCIO,True,2,ECOPETROL S.A.,PUTUMAYO,0.6193716024528302,-77.02721196301887,134,74.3727803181771,29.08516129032258,121.96774193548387,0.238466014281936,15.336748901070663,0.0,exponencial,True,0.6113461401472471,0
SUCUMBIOS,False,18,ECOPETROL S.A.,NARIÑO,0.47337305,-77.16603508,117,260.21402562336937,124.2,430.80645161290323,0.2882965181579933,25.73798785048028,0.0,exponencial,True,0.8835089669430299,1
SURIA,True,0,ECOPETROL S.A.,META,4.055481095,-73.45124499,146,3664.7498489887303,3505.872580645161,6510.645161290323,0.5384831293662983,17.510805072708415,0.9999999999999938,armónica,True,0.0889049830537367,0
SURIA SUR,True,0,ECOPETROL S.A.,META,4.028351795,-73.44242882,146,1178.203887867907,585.3251612903226,2327.3571428571427,0.25149778283351804,7.675670905510779,0.0,exponencial,True,0.12041823307120643,0
TANANE,False,33,ECOPETROL S.A.,META,4.051541404,-73.43624688,103,167.94290764331043,11.033333333333333,441.6774193548387,0.024980523906904275,22.489667974806814,0.0,exponencial,True,0.5355205675814799,0
TARO TARO,False,12,GEOPARK COLOMBIA S.A.S.,CASANARE,4.447031,-72.61509448,123,950.52114098902,0.5483870967741935,3740.8064516129034,0.00014659595567628162,35.00726352019699,0.0,exponencial,True,0.5386484550936806,0
TAYA,False,108,PETROMINERALES COLOMBIA LTD SUCURSAL COLOMBIA,META,4.37248138,-72.87448573,24,239.4023169482847,21.0,499.7741935483871,0.04201897631188279,56.930963378426604,0.0,exponencial,True,0.4314185004419363,0
TELLO,True,0,ECOPETROL S.A.,HUILA,2.967199261,-75.25066133,147,4022.478917173204,2913.71,5065.387096774193,0.5752196119138747,6.100397106950172,0.9999999999999999,armónica,True,0.045069565606470845,0
TEMPRANILLO,False,43,ECOPETROL S.A.,HUILA,3.12765157,-75.28003566,104,251.85939818662985,186.70967741935485,478.61290322580646,0.39010581653973175,0.0011999928000272497,1.0,armónica,True,0.34415716978645483,0
TEMPRANILLO NORTE,False,43,ECOPETROL S.A.,HUILA,3.130509964,-75.27626543,104,165.31550247120325,162.93548387096774,323.76666666666665,0.5032497185348536,0.0011999928000272497,1.0,armónica,True,0.381039314909922,0
TEMPRANILLO UNIFICADO,True,0,ECOPETROL S.A.,HUILA,3.127405,-75.288593,42,297.1873348315967,281.92354838709673,363.62068965517244,0.7753231771669801,7.185956198189447,0.0,exponencial,True,0.25099660266027657,0
TENAY,True,0,ECOPETROL S.A.,HUILA,3.077966806,-75.30436701,145,273.7294232224822,167.01870967741937,772.1071428571429,0.21631545728145343,0.0011999928000716586,1.0,armónica,True,0.37166242730893173,0
TERECAY,True,0,SIERRACOL ENERGY ARAUCA LLC,ARAUCA,6.765810696,-71.30549946,145,1327.1250250515532,2257.1109677419354,3598.6666666666665,0.6272075679164326,0.0011999928001604765,1.0,armónica,True,0.5074685515513102,0
TESORO,False,5,ECOPETROL S.A.,SANTANDER,7.02174908704918,-73.56573558409836,142,235.78239403047874,288.64516129032256,406.0967741935484,0.7107792517276987,0.0011999928000272497,1.0,armónica,True,0.1180866742261376,0
TIBÚ,True,0,ECOPETROL S.A.,NORTE DE SANTANDER,8.681159,-72.711806,146,1736.3597821463218,1151.4406451612904,3585.967741935484,0.32109620833895564,0.22816126271236747,0.0,exponencial,True,0.4758002883347349,0
TIERRA BLANCA,False,12,PERENCO COLOMBIA LIMITED,CASANARE,5.35764921,-72.09726198,24,3.466049027137737,0.7419354838709677,18.29032258064516,0.040564373897707236,65.0062495512152,1.0,armónica,True,2.30637065005616,0
TIGANA,True,0,GEOPARK COLOMBIA S.A.S.,CASANARE,4.450906,-72.659953,146,16119.410063487407,15032.19,37788.0,0.39780327087964434,17.92412100148467,0.0,exponencial,True,0.19856702315993777,0
TIGANA NORTE,False,81,GEOPARK COLOMBIA S.A.S.,CASANARE,4.46744552,-72.6581351,61,6265.152404788389,18219.433333333334,18653.071428571428,0.9767524561893931,0.0011999928008821215,1.0,armónica,True,0.19529723934433865,0
TIGANA SUR,False,81,GEOPARK COLOMBIA S.A.S.,CASANARE,4.422809574,-72.69122681,66,6822.844645846676,10993.866666666667,14343.766666666666,0.7664560447860046,0.0011999928000272497,1.0,armónica,True,0.16428391523712338,0
TIGRO,True,0,COLOMBIA ENERGY DEVELOPMENT CO ANTES HARKEN DE COLOMBIA II LIMITADA SUCURSAL COLOMBIA,CASANARE,5.27884124,-71.90251152,54,200.20574929178608,0.6935483870967742,1113.1935483870968,0.0006230258773073691,37.937259637398014,0.0,exponencial,True,0.45991860658958106,0
TIJERETO,False,29,"FRONTERA ENERGY COLOMBIA CORP., SUCURSAL COLOMBIA",CASANARE,5.17384942,-71.34045463,61,75.63912261781022,13.225806451612904,141.6451612903226,0.09337280801639718,5.538410663680448,0.9999999998671617,armónica,True,0.8330671766913815,0
TILO,True,0,GEOPARK COLOMBIA S.A.S.,CASANARE,4.4810543,-72.63143344,130,452.53650801969627,482.88774193548386,1542.4,0.3130755588274662,0.0011999928000272497,1.0,armónica,True,0.5275312820375468,0
TILODIRÁN,True,0,COLOMBIA ENERGY DEVELOPMENT CO ANTES HARKEN DE COLOMBIA II LIMITADA SUCURSAL COLOMBIA,CASANARE,5.101443427,-72.19833674,147,1057.5117627133486,686.4203225806451,2446.6774193548385,0.2805520323809775,19.64499460844098,0.0,exponencial,True,0.19214684170288213,0
TINAMU,True,0,ECOPETROL S.A.,META,3.803030671,-73.70183065,32,570.9521381189086,373.58612903225804,929.1290322580645,0.40208207478387664,8.146510412738884,0.0,exponencial,True,0.5228626670482227,0
TISQUIRAMA,True,0,ECOPETROL S.A.,CESAR,8.039994854,-73.5913888,146,1172.6258759170696,705.5954838709678,2029.0967741935483,0.34773870465168044,11.296355540968106,0.0,exponencial,True,0.09085051391897371,0
TOCA,False,26,ECOPETROL S.A.,SANTANDER,7.719377183,-73.46993516,64,28.341444445547964,2.6451612903225805,48.61290322580645,0.054412740544127404,12.072141799374137,8.680655933577099e-09,exponencial,True,0.7301720884372065,0
TOCARIA,True,0,PERENCO COLOMBIA LIMITED,CASANARE,5.373533728,-72.15652385,146,328.27098450242244,98.2258064516129,2117.2,0.046394202933881024,12.990669143104416,0.9999999999999999,armónica,True,0.25173518292960684,0
TOLDADO,True,0,HOCOL S.A.,TOLIMA,3.873567826,-75.2781332,127,473.8681255617519,267.24387096774194,1108.6333333333334,0.24105704107255954,0.0011999928000272497,1.0,armónica,True,0.397902336860488,0
TONINA,False,37,SIERRACOL ENERGY ARAUCA LLC,ARAUCA,6.923675102,-71.14508026,36,21.007324202082266,8.892857142857142,31.964285714285715,0.2782122905027933,7.176280692298819,0.0,exponencial,True,0.273063586065366,0
TOQUI TOQUI,True,0,HOCOL S.A.,TOLIMA,4.590282193,-74.84374757,147,396.66174656143517,199.1190322580645,627.0,0.31757421412769454,19.80588678844024,1.0,armónica,True,0.06699828199930187,0
TORCAZ,False,101,CINCO RANCH PETROLEUM COLOMBIA INC SUCURSAL COLOMBIA.,CUNDINAMARCA,5.692108,-74.588114,46,31.76372637414012,1.6774193548387097,40.03225806451613,0.041901692183722805,16.927394381139504,0.9999999999999981,armónica,True,0.4553507794611071,0
TORITOS,True,0,GEOPARK COLOMBIA S.A.S.,META,4.371248597,-72.98093727,30,1880.8916519457246,4027.71935483871,4218.690967741935,0.9547320212920352,0.0011999928000272497,1.0,armónica,True,0.3885663050689517,0
TORO SENTADO,True,0,COLOMBIA ENERGY DEVELOPMENT CO ANTES HARKEN DE COLOMBIA II LIMITADA SUCURSAL COLOMBIA,META,4.341050224,-71.86768997,146,238.68648954099905,207.45290322580644,508.83870967741933,0.40769874476987444,0.0011999928000272497,1.0,armónica,True,0.08116482099146835,0
TORO SENTADO NORTE,True,0,COLOMBIA ENERGY DEVELOPMENT CO ANTES HARKEN DE COLOMBIA II LIMITADA SUCURSAL COLOMBIA,META,4.357888689,-71.85723553,146,316.77110949997353,423.7925806451613,464.8709677419355,0.9116348622579974,4.613614870998861,0.0,exponencial,True,0.05643372724628693,0
TORO SENTADO WEST,True,0,COLOMBIA ENERGY DEVELOPMENT CO ANTES HARKEN DE COLOMBIA II LIMITADA SUCURSAL COLOMBIA,META,4.335804068,-71.87965572,146,156.38824973043907,110.10290322580646,500.0357142857143,0.22019007858885656,0.0011999928000272497,1.0,armónica,True,0.09265687974149736,0
TOROS,False,40,PERENCO COLOMBIA LIMITED,CASANARE,5.429935,-71.209043,89,43.78605658983795,11.333333333333334,100.96666666666667,0.11224826675470452,12.023386551602744,0.0,exponencial,True,0.2748344742664222,0
TOROYACO,True,0,GRAN TIERRA ENERGY COLOMBIA GMBH SUCURSAL COLOMBIA,PUTUMAYO,1.009334318,-76.50814614,131,180.84918554846476,62.802258064516124,267.258064516129,0.23498732649366325,17.176927863766835,6.299623493688511e-08,exponencial,True,0.6538467808664012,0
TOTARE,True,0,HOCOL S.A.,TOLIMA,4.644622781,-74.92657062,131,65.57646891776434,70.99225806451614,91.80645161290323,0.7732817990161631,1.470369561409124,0.0,exponencial,True,0.4609924401786255,0
TOTUMAL,False,38,PAREX RESOURCES COLOMBIA LTD. SUCURSAL,CESAR,8.16833763,-73.60327374,64,62.1066932421606,4.580645161290323,596.1290322580645,0.0076839826839826845,3.8232925218188663,7.283676229606346e-07,exponencial,True,1.1660261623196648,0
TOY,False,18,HOCOL S.A.,TOLIMA,3.93742175,-75.3051948,77,93.53347284105268,95.5,159.1,0.6002514142049026,0.0011999928000272497,1.0,armónica,True,0.9884121098092928,0
TRINIDAD,False,30,PERENCO COLOMBIA LIMITED,CASANARE,5.49117907,-71.76223087,117,641.5491847768266,213.5,1240.741935483871,0.17207446117047553,23.12930527932001,0.0,exponencial,True,0.09097634438521081,0
TUA,True,0,GEOPARK COLOMBIA S.A.S.,CASANARE,4.416713283,-72.6619228,146,4764.929776812244,1338.0932258064515,11124.41935483871,0.12028432074744023,23.333501223502772,0.9999999999999979,armónica,True,0.3004573913330527,0
TUCUSO,False,32,"FRONTERA ENERGY COLOMBIA CORP., SUCURSAL COLOMBIA",CASANARE,5.053802843,-71.52876302,46,159.381620249783,6.709677419354839,494.56666666666666,0.013566780520364304,3.950451831838342,0.0,exponencial,True,1.0973955215759428,0
TULIPÁN,True,0,MONTAJES JM S.A.  - EN REORGANIZACION,CASANARE,5.423555,-71.297748,118,316.20825428846143,50.07290322580645,2696.8064516129034,0.01856748125022428,11.836083524017482,0.0,exponencial,True,0.7620039494526024,0
TURPIAL,True,0,TPL COLOMBIA LTD - SUCURSAL COLOMBIA ANTES PANATLANTIC COLOMBIA LTD SUCURSAL EN COLOMBIA,BOYACA,6.025533292,-74.5464498,88,113.85163397040482,31.059354838709677,369.8,0.0839896020516757,14.166616259965215,7.820709655156907e-09,exponencial,True,0.5898416286422391,0
