modelo,MAE_bpd,RMSE_bpd,sMAPE_%,MASE,sesgo_bpd,n
Naive,307.974,1372.271,30.451,2.139,95.404,15204.0
Media-3m,323.707,1424.506,29.839,2.18,93.763,15204.0
Media-6m,350.296,1504.68,30.609,2.272,108.839,15204.0
Drift,343.334,1319.983,42.036,2.343,91.382,15204.0
Arps-24m,366.61,1394.697,33.715,2.35,-96.72,15204.0
Arps-36m,404.391,1591.838,34.764,2.463,-93.702,15204.0
Arps-todo,490.438,1951.2,39.259,2.811,-148.037,15204.0
